type,id,locator,portuguese_source,english_applied,reviewed_english,brand,keywords,search_text,notes
food,77b1ee5e-764f-5adf-804a-21262c97393d,,Amêijoas à Bulhão Pato,Clams Bulhao Pato,,,"[""amêijoas"",""ameijoas"",""amêijoa"",""bulhão"",""bulhao"",""pato"",""duck"",""clams""]",clams bulhao pato clams bulhao pato duck,
food,cc460d6d-36c2-52d6-8986-ce083bf20b46,,"Amêndoa, miolo, com pele",Almond with Skin,,,"[""amêndoa"",""amendoa"",""almond"",""miolo"",""pele"",""with"",""skin""]",almond with skin almond with skin pele,
food,6f1ebf02-a1d5-56ba-ab46-679b6dabd5cc,,"Amêndoa, miolo, torrada, sem pele",Almond Toasted Skinless,"Almond Toasted, Skinless",,"[""amêndoa"",""amendoa"",""almond"",""miolo"",""torrada"",""pele"",""toasted"",""skinless""]",almond toasted skinless almond toasted skinless pele,
food,1264024f-1f68-50b5-801f-36630eb5b80a,,Ananás,Pineapple,,,"[""fruta"",""fruit"",""ananáses"",""abacaxis"",""pineapples"",""ananás"",""ananas"",""ananá"",""pineapple""]",pineapple pineapple abacaxis pineapples,
food,184f092b-5f02-59cb-a611-7813f5eb3903,,Ananás desidratado,Dehydrated Pineapple,,,"[""ananás"",""ananas"",""ananá"",""pineapple"",""desidratado"",""dehydrated"",""dried""]",dehydrated pineapple dehydrated pineapple,
food,4710057b-848c-5e27-b2dd-f9c5f201c349,,"Ananás, conserva em calda de açúcar",Pineapple Canned in Sugar Syrup,,,"[""ananás"",""ananas"",""ananá"",""pineapple"",""conserva"",""canned"",""calda"",""açúcar"",""acucar"",""sugar"",""in"",""syrup""]",pineapple canned in sugar syrup pineapple canned in sugar syrup,
food,b76d56f2-9c64-59b3-bbda-c223e9b3959d,,"Anchova, conserva em óleo, escorrido",Anchova Canned Oleo Escorrido,"Anchovy Canned Oil, Drained",,"[""anchova"",""anchovy"",""conserva"",""canned"",""óleo"",""oleo"",""oil"",""escorrido""]",anchova canned oleo escorrido anchova canned oleo escorrido anchovy oil,
food,fbe09080-ac7e-5089-9db6-a7b077501ec9,,Anona,Anona,Custard Apple,,"[""anona"",""cherimoya"",""custard"",""apple""]",anona anona cherimoya custard apple,
food,c8c088e0-d818-504c-90b0-d7a456b1d4ca,,Anona desidratada,Dehydrated Anona,Dehydrated Custard Apple,,"[""anona"",""cherimoya"",""custard"",""apple"",""desidratada"",""dehydrated"",""dried""]",dehydrated anona dehydrated anona cherimoya custard apple,
food,bcf94e74-e408-52a3-89f6-cd3ffd09d3d6,,Arroz,Rice,,,"[""arroz"",""rice"",""branco"",""white"",""cru"",""raw""]",rice rice,
food,8bbe1f72-4770-528d-b94e-f0f7a77279ca,,Arroz (cozido),Cooked Rice,,,"[""arroz"",""branco"",""white"",""rice"",""cozido"",""baked"",""cooked"",""boiled""]",cooked rice cooked rice,
food,2b2c0e99-18ee-5d4d-9c1c-7371ceb497c5,,Arroz agulha cru,Needle Rice Raw,"Needle Rice, Raw",,"[""arroz"",""rice"",""agulha"",""cru"",""raw"",""needle""]",needle rice raw needle rice raw agulha,
food,1a5d493c-2770-56dd-a566-d72a843c6778,,Arroz arbóreo,Arborio Rice,,,"[""arroz"",""arbóreo"",""carnaroli"",""arborio"",""rice"",""arboreo""]",arborio rice arborio rice arboreo carnaroli,
food,a5b55d77-77be-56ef-ac0b-db3d73bcb532,,Arroz arbóreo (cozido),Arborio Rice (cooked),,,"[""arroz"",""arbóreo"",""carnaroli"",""arborio"",""rice"",""cozido"",""baked"",""arboreo"",""cooked"",""boiled""]",arborio rice cooked arborio rice cooked arboreo carnaroli,
food,63b4601b-df19-5436-b26d-4e7a1f34d755,,Arroz basmati,Basmati Rice,,,"[""arroz"",""basmati"",""rice""]",basmati rice basmati rice,
food,f84d33fe-ae16-5070-8d23-bbb6f19c26c3,,Arroz basmati (ao vapor),Basmati Rice (vapor),,,"[""arroz"",""basmati"",""rice"",""vapor""]",basmati rice vapor basmati rice vapor,
food,8e7b6100-87a4-5400-b0be-db14df3b21c1,,Arroz carolino branqueado cru,Carolino Rice Branqueado Raw,"Carolino Rice Blanched, Raw",,"[""arroz"",""rice"",""carolino"",""branqueado"",""cru"",""raw""]",carolino rice branqueado raw carolino rice branqueado raw,
food,61d525a2-59ee-56da-a4c5-a6e6146bf550,,Arroz cozido simples,Simple Cooked Rice,,,"[""arroz"",""rice"",""cozido"",""cooked"",""boiled"",""simples"",""simple""]",simple cooked rice simple cooked rice,
food,a7892ec0-6b9a-52ac-8a9f-5b70fc7b58d8,,Arroz de bacalhau,Rice with Cod,,,"[""arroz"",""rice"",""bacalhau"",""cod"",""with""]",rice with cod rice with cod,
food,2673ebd3-c84b-599d-8c9c-72faa900423a,,Arroz de bacalhau com margarina,Rice with Cod Margarine,,,"[""arroz"",""rice"",""bacalhau"",""cod"",""margarina"",""margarine"",""with""]",rice with cod margarine rice with cod margarine margarina,
food,ffe06d15-589e-5568-be79-72e667bce2ba,,Arroz de cabidela,Rice with Cabidela,,,"[""arroz"",""rice"",""cabidela"",""with""]",rice with cabidela rice with cabidela,
food,3d2a7a3f-86c5-5517-b508-ae7e2317be1f,,Arroz de cenoura com azeite,Rice with Carrot Olive Oil,,,"[""arroz"",""rice"",""cenoura"",""carrot"",""azeite"",""olive"",""oil"",""with""]",rice with carrot olive oil rice with carrot olive oil,
food,c31dad5f-e163-5acd-b0c1-1eb217c69033,,Arroz de ervilhas,Rice with Peas,,,"[""arroz"",""rice"",""ervilhas"",""ervilha"",""peas"",""with""]",rice with peas rice with peas ervilhas ervilha,
food,0b8f8085-328a-55f8-8fe5-5c19c053d4fd,,Arroz de feijão,Rice with Bean,,,"[""arroz"",""rice"",""feijão"",""feijao"",""bean"",""beans"",""with""]",rice with bean rice with bean beans,
food,26545bb7-c05b-5970-bd68-036f1d4a8a56,,Arroz de frango,Rice with Chicken,,,"[""arroz"",""rice"",""frango"",""chicken"",""with""]",rice with chicken rice with chicken frango,
food,639c5974-035e-5804-b54c-42f00fcb8b08,,Arroz de frango com feijão e chouriço,Rice with Chicken Bean,,,"[""arroz"",""rice"",""frango"",""chicken"",""feijão"",""feijao"",""bean"",""beans"",""chouriço"",""chourico"",""sausage"",""with""]",rice with chicken bean rice with chicken bean frango beans sausage,
food,fd475705-47c9-560f-b11c-047cd5d4b7f6,,Arroz de frango malandrinho à moda de Monção,Moncao-Style Chicken Rice,,,"[""arroz"",""rice"",""frango"",""chicken"",""malandrinho"",""moda"",""monção"",""moncao"",""style""]",moncao style chicken rice moncao style chicken rice frango malandrinho moda,
food,e568aee7-544a-5fc1-85ea-844bcc1b4b9d,,Arroz de gambas,Rice with Gambas,Rice with Prawns,,"[""arroz"",""rice"",""gambas"",""gamba"",""shrimp"",""prawn"",""with""]",rice with gambas rice with gambas gamba shrimp prawn,
food,2642c245-e598-5a06-91bb-edc219c7fc9c,,Arroz de lulas,Rice with Lulas,Rice with Squid,,"[""arroz"",""rice"",""lulas"",""lula"",""with""]",rice with lulas rice with lulas lula,
food,9d605b9d-5154-5524-ab2b-72aba1297533,,Arroz de manteiga,Rice with Butter,,,"[""arroz"",""rice"",""manteiga"",""butter"",""with""]",rice with butter rice with butter,
food,1ac3f8f8-f9ae-5867-a802-91fa44d92b40,,Arroz de marisco,Rice with Seafood,,,"[""arroz"",""rice"",""marisco"",""with"",""seafood""]",rice with seafood rice with seafood marisco,
food,e9887516-549b-538c-8ddf-4a24277f1e7d,,Arroz de pato,Rice with Pato,Rice with Duck,,"[""arroz"",""rice"",""pato"",""duck"",""with""]",rice with pato rice with pato duck,
food,9b876310-33dd-56a3-8a8e-185a53e0f437,,Arroz de peixe,Rice with Fish,,,"[""arroz"",""rice"",""peixe"",""fish"",""with""]",rice with fish rice with fish,
food,9d943a54-ff58-598e-8a81-a94ab96a9ffe,,Arroz de peixe com ervilhas,Rice with Fish Peas,,,"[""arroz"",""rice"",""peixe"",""fish"",""ervilhas"",""ervilha"",""peas"",""with""]",rice with fish peas rice with fish peas ervilhas ervilha,
food,749ff196-9493-50ad-903a-7e17dd03cc0f,,Arroz de polvo com azeite,Rice with Octopus Olive Oil,,,"[""arroz"",""rice"",""polvo"",""octopus"",""azeite"",""olive"",""oil"",""with""]",rice with octopus olive oil rice with octopus olive oil polvo,
food,7daf1090-e8ea-576c-8097-2e0fb3c129a0,,Arroz de polvo com tomate ,Rice with Octopus Tomato,,,"[""arroz"",""rice"",""polvo"",""octopus"",""tomate"",""tomato"",""with""]",rice with octopus tomato rice with octopus tomato polvo,
food,db6e7821-1ec9-5155-8c1f-52792404ce06,,Arroz de polvo com tomate e vinho,Rice with Octopus Tomato Wine,,,"[""arroz"",""rice"",""polvo"",""octopus"",""tomate"",""tomato"",""vinho"",""wine"",""with""]",rice with octopus tomato wine rice with octopus tomato wine polvo,
food,2125b9ac-a45a-51eb-9cbb-dd4075ec46b4,,Arroz de tamboril,Rice with Tamboril,Rice with Monkfish,,"[""arroz"",""rice"",""tamboril"",""monkfish"",""fish"",""with""]",rice with tamboril rice with tamboril monkfish,
food,0966c622-3562-5cc5-89fc-aa01ea054828,,Arroz de tamboril malandrinho,Monkfish Rice,,,"[""arroz"",""rice"",""tamboril"",""monkfish"",""fish"",""malandrinho""]",monkfish rice monkfish rice tamboril malandrinho,
food,e96067b1-7044-5c6c-9653-684f8c4b5d26,,Arroz de tomate com azeite,Rice with Tomato Olive Oil,,,"[""arroz"",""rice"",""tomate"",""tomato"",""azeite"",""olive"",""oil"",""with""]",rice with tomato olive oil rice with tomato olive oil,
food,67f0881c-9ee0-51af-b8ca-d1c435cf4d09,,Arroz de tomate com margarina,Rice with Tomato Margarine,,,"[""arroz"",""rice"",""tomate"",""tomato"",""margarina"",""margarine"",""with""]",rice with tomato margarine rice with tomato margarine margarina,
food,04676a96-e30c-544d-9f5c-e2e28e91ca8e,,Arroz de tomate malandrinho,Tomato Rice,,,"[""arroz"",""rice"",""tomate"",""tomato"",""malandrinho""]",tomato rice tomato rice malandrinho,
food,eb512af4-e622-57a0-81f4-7e653e1aa4fe,,Arroz doce,Rice Pudding,,,"[""arroz"",""rice"",""doce"",""sweet"",""pudding""]",rice pudding rice pudding sweet,
food,08e6b0a7-628a-5e42-b337-313a282cf0b2,,Arroz integral cru,Brown Rice Raw,"Brown Rice, Raw",,"[""arroz"",""rice"",""integral"",""wholegrain"",""wholemeal"",""cru"",""raw"",""brown""]",brown rice raw brown rice raw wholegrain wholemeal,
food,e77c9ed0-c971-53e7-9ed5-03dd6aeb8e86,,Arroz à valenciana,Rice Valenciana,,,"[""arroz"",""rice"",""valenciana""]",rice valenciana rice valenciana,
food,a70e580c-ba23-57a9-948b-d9d3ddd61186,,Atum conserva em óleo,Tuna Canned Oleo,Tuna Canned Oil,,"[""atum"",""tuna"",""conserva"",""canned"",""óleo"",""oleo"",""oil""]",tuna canned oleo tuna canned oleo oil,
food,09bcf6a3-e4e5-515c-813d-502d072eafb4,,Atum de cebolada,Tuna Cebolada,Tuna Onion Sauce,,"[""atum"",""tuna"",""cebolada""]",tuna cebolada tuna cebolada,
food,d396892b-f1b8-5120-a7ac-4b13e9c69b6b,,Atum em lata (em azeite),Tuna Canned (olive Oil),"Tuna, Canned (olive Oil)",Bom Petisco,"[""canned"",""atum"",""tuna"",""enlatados"",""lata"",""azeite"",""olive"",""oil"",""bom"",""petisco""]",tuna canned olive oil bom petisco tuna canned olive oil bom petisco enlatados lata,
food,6bb181d0-f28c-5b57-bd11-40fd309904e6,,Atum fresco cru,Tuna Fresh Raw,"Tuna Fresh, Raw",,"[""atum"",""tuna"",""fresco"",""cru"",""raw"",""fresh""]",tuna fresh raw tuna fresh raw,
food,23714278-2954-52cd-bb0f-37b6063b2f8f,,Atum fresco grelhado,Tuna Fresh Grilled,"Tuna Fresh, Grilled",,"[""atum"",""tuna"",""fresco"",""grelhado"",""grilled"",""fresh""]",tuna fresh grilled tuna fresh grilled,
food,9bf16255-5700-54cc-8c71-721be7970cde,,"Avelã, miolo","Hazelnut, Kernel",,,"[""avelã"",""avela"",""miolo"",""hazelnut"",""kernel""]",hazelnut kernel hazelnut kernel avela,
food,ce5fc322-a261-5c22-8537-52ac487cf71e,,Azeite,Olive Oil,,,"[""azeites"",""olive"",""oil"",""azeite""]",olive oil olive oil azeites,
food,5746390f-04d0-50cd-bf4a-0cb61c49f5fa,,Azeite (4 marcas),Olive Oil (4 Marcas),Olive Oil (4 Brands),,"[""azeite"",""olive"",""oil"",""marcas"",""marca""]",olive oil 4 marcas olive oil marcas marca,
food,f2905486-8828-5f34-a53a-463e6dd236c5,,Azeitona,Olive,,,"[""azeitona"",""olive""]",olive olive azeitona,
food,8ad3fe3c-c866-50ae-9ccd-642ee263ddc0,,Azeitona sem caroço,Seedless Olive,,,"[""fruta"",""fruit"",""azeitonas"",""olives"",""caroço"",""pit"",""azeitona"",""olive"",""caroco"",""seedless""]",seedless olive seedless olive azeitonas olives caroco pit azeitona,
food,4cf299e1-6d09-5473-b760-e6b7b119ca23,,Açafrão,Saffron,,,"[""açafrão"",""acafrao"",""saffron""]",saffron saffron,
food,1fc59144-2790-5e80-aaa5-c7861721f767,,Açafrão-da-índia seco,Acafrao-da-india Dried,"Turmeric, Dried",,"[""açafrão"",""acafrao"",""saffron"",""índia"",""india"",""seco"",""dried"",""da""]",acafrao da india dried acafrao da india dried saffron,
food,afcae0ba-3f22-58bc-a7af-3f2fbbeb412c,,Açorda,Bread Soup,,,"[""açorda"",""acorda"",""bread"",""soup""]",bread soup bread soup,
food,a73fe975-2ba9-5450-8114-6c6111152b96,,Açorda de bacalhau,Bread Soup Cod,,,"[""açorda"",""acorda"",""bread"",""soup"",""bacalhau"",""cod""]",bread soup cod bread soup cod,
food,708d7810-cf2c-59d6-a3db-3c0aa1168777,,Açorda de marisco,Bread Soup Seafood,,,"[""açorda"",""acorda"",""bread"",""soup"",""marisco"",""seafood""]",bread soup seafood bread soup seafood marisco,
food,b20e1bd3-4a54-56de-a172-9ce768074868,,Açorda de ovo,Bread Soup Egg,,,"[""açorda"",""acorda"",""bread"",""soup"",""ovo"",""egg""]",bread soup egg bread soup egg,
food,170e8067-11c1-5595-9bb8-71f733790ace,,Açorda à alentejana,Bread Soup Alentejana,,,"[""açorda"",""acorda"",""bread"",""soup"",""alentejana""]",bread soup alentejana bread soup alentejana,
food,9c745ee7-03fa-56bb-bca2-c5ef2e150310,,Açúcar,Sugar,,,"[""açúcar"",""sugar"",""acucar""]",sugar sugar,
food,9dc36312-9ad0-525a-995f-c9a5971250bc,,Açúcar amarelo,Yellow Sugar,,,"[""açúcar"",""acucar"",""sugar"",""amarelo"",""yellow""]",yellow sugar yellow sugar,
food,f1baa23f-a663-509a-94fd-38e75b3e36be,,Açúcar branco,White Sugar,,,"[""açúcar"",""acucar"",""sugar"",""branco"",""white""]",white sugar white sugar,
food,e11bb5f4-6b8e-5d89-842a-488a950e47dd,,Açúcar Mascavado,Brown Sugar,,,"[""açúcar"",""mascavado"",""brown"",""sugar"",""acucar""]",brown sugar brown sugar mascavado,
food,6c1b50d9-b789-53ea-884e-8fe4b638e678,,Bacalhau assado no forno,Cod Roasted Forno,Cod Roasted Oven,,"[""bacalhau"",""assado"",""codfish"",""roasted"",""forno"",""oven"",""cod""]",cod roasted forno cod roasted forno codfish oven,
food,9583b2ed-881c-5077-8e28-63a376fed136,,Bacalhau assado no forno com azeite,Cod Roasted Forno Olive Oil,Cod Roasted Oven Olive Oil,,"[""bacalhau"",""cod"",""assado"",""roasted"",""forno"",""azeite"",""olive"",""oil""]",cod roasted forno olive oil cod roasted forno olive oil,
food,2fcf1002-6a98-5702-b2d5-124679c6e863,,Bacalhau com natas,Cod with Cream,,,"[""bacalhau"",""cod"",""natas"",""nata"",""with"",""cream""]",cod with cream cod with cream,
food,97ac534d-7b29-54ca-98dd-7a81bd2ea3e1,,"Bacalhau com natas, com queijo ralado",Cod Cheese Grated,"Cod Cheese, Grated",,"[""bacalhau"",""cod"",""natas"",""nata"",""queijo"",""cheese"",""ralado"",""grated""]",cod cheese grated cod cheese grated,
food,bf54e39a-3899-50ac-8a64-edee6b11de5c,,Bacalhau cozido,Cod Cooked,"Cod, Cooked",,"[""bacalhau"",""cod"",""cozido"",""cooked"",""boiled""]",cod cooked cod cooked,
food,a622e1a6-aade-5c26-92a1-0d29d1644b58,,Bacalhau fresco cozido,Cod Fresh Cooked,"Cod Fresh, Cooked",,"[""bacalhau"",""cod"",""fresco"",""cozido"",""cooked"",""boiled"",""fresh""]",cod fresh cooked cod fresh cooked,
food,426be2ae-7542-549a-8a23-6d9c8440f2de,,Bacalhau fresco cru,Cod Fresh Raw,"Cod Fresh, Raw",,"[""bacalhau"",""cod"",""fresco"",""cru"",""raw"",""fresh""]",cod fresh raw cod fresh raw,
food,befcaf86-a57f-566c-9d43-dceb6b1d7bb5,,Bacalhau grelhado,Cod Grilled,"Cod, Grilled",,"[""bacalhau"",""cod"",""grelhado"",""grilled""]",cod grilled cod grilled,
